asset_id,display_name,kind,usage,source_path,derived_paths,origin_type,source_url,creator,licence,licence_url,downloaded_or_created_utc,upstream_version_or_commit,modifications,ai_tool_and_model,ai_prompt_or_brief_hash,third_party_inputs,rights_reviewed_by,rights_reviewed_utc,approval_pr_or_issue,content_hash_sha256,status,notes
v11-wordmark-001,Midnight route wordmark,svg,Decorative route identity with DOM text fallback,public/assets/brand/crazy-rummy-wordmark.v1.svg,,first-party,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-stage-1.1.2,Authored as compact semantic SVG,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:fcc8f64e5ea37659daf6a31d3a16c728cd2f2e392d61b6082cb48c19268dd013,approved,Visible text is duplicated in accessible DOM when used
v11-card-back-001,Midnight double-rail card back,svg,Private and anonymous card backs,public/assets/cards/card-back-midnight-lattice.v1.svg,,first-party,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-stage-1.1.2,Re-authored from the approved Compartment Table brief,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:61d0ff1fa68ca2f035a3fb4e33f39747c15027258d0b13064ef535da3948167e,approved,Symmetrical orientation-safe geometry with CSS fallback
v11-wild-seal-001,Wild route seal,svg,Wild card redundant state mark,public/assets/cards/wild-route-seal.v1.svg,,first-party,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-stage-1.1.2,Authored as text plus patterned route star,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:01d21c1f67e996c4f2b3ada23cdce40411d715f4c8a34426f9da027dc735e40c,approved,Card DOM retains the word WILD without this asset
v11-baize-fibre-001,Midnight baize fibre,svg,Optional table material texture,public/assets/materials/baize-fibre.v1.svg,,first-party,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-stage-1.1.2,Authored deterministic filter texture,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:d9a448694bd5cfbe3994dc390909fa73e75fb1687df66d3cae96b7243b25aeed,approved,Solid baize colour remains the required fallback
v11-route-terminus-001,Thirteen-stop terminus,svg,Final result route flourish,public/assets/ui/route-terminus.v1.svg,,first-party,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-stage-1.1.2,Authored as thirteen nodes and terminus seal,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:2f4331ff4bef5fe6745a0dbb18f8b75318c614efc08a2ce5da8e01010a4145b3,approved,RouteLine DOM remains authoritative
legacy-baize-001,Legacy baize texture,svg,Existing production table fallback,public/art/baize-texture.v1.svg,,first-party-existing,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-pre-v1.1,Source inspected and recorded without modification,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:dc2ee5d92d1d1261fa3589fc3b5cd72485c690fe0be71ba08803dc98136761bb,approved,May be superseded after complete v1.1 asset integration
legacy-card-back-001,Legacy rail lattice card back,svg,Existing production card fallback,public/art/card-back-lattice.v1.svg,,first-party-existing,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-pre-v1.1,Source inspected and recorded without modification,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:cd6e784b9fa155b74bef313c5f68903a0a39fe326a0817c57263976a398dfe7a,approved,Orientation-safe legacy fallback
legacy-route-001,Legacy route tickets,svg,Existing production route fallback,public/art/route-tickets.v1.svg,,first-party-existing,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-pre-v1.1,Source inspected and recorded without modification,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:b47b8e29e485f840608c47be2e950ff57fdc4c6beb01515e97d69e486783c223,approved,RouteLine DOM remains authoritative
app-icon-any-001,Crazy Rummy any-purpose icon,svg,PWA any-purpose icon,public/icons/crazy-rummy-any.v1.svg,,first-party-existing,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-pre-v1.1,Source inspected and recorded without modification,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:a02e90397363b98029631ec5498a75d9b413143b78aaba28165acde434e3ec75,approved,Manifest-owned local icon
app-icon-maskable-001,Crazy Rummy maskable icon,svg,PWA maskable icon,public/icons/crazy-rummy-maskable.v1.svg,,first-party-existing,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-pre-v1.1,Source inspected and recorded without modification,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:fd9eaf2c4791379f6064f6ec94cdb384fdf7207305f231c9253b8f9487e90fac,approved,Manifest-owned local icon
favicon-001,Crazy Rummy favicon,svg,Browser tab icon,public/icons/favicon.svg,,first-party-existing,,Crazy Rummy project,Original project work under repository distribution terms,,2026-07-30T17:47:06Z,workspace-pre-v1.1,Source inspected and recorded without modification,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:bbf57d504066266206115e1fbce8403aec56d7211d6b72f83a48fb1e204d6b4b,approved,Small local non-precache icon
legacy-splash-001,Legacy illustrated splash,png,Quarantined pre-v1.1 concept,art/_incoming/legacy-splash/crazy-rummy-splash.v1.png,,unknown-existing,,Unknown prior source,Not approved for production distribution,,2026-07-30T17:47:06Z,workspace-pre-v1.1,Moved intact out of public runtime tree,,,,v1.1 controller,2026-07-30T17:47:06Z,controlling Codex task,sha256:11d1351393a311f6ff8ad0eb760b638067301a0b834f304fd3ee4e49498b7adf,quarantined,Unknown provenance and 2.07 MB payload conflict with selected abstract direction
